epoch,hp_metric,loss,step,val_loss
,30.16944122314453,,0,
0,,-6.111642360687256,49,
0,,-5.035769462585449,99,
0,,-7.7244391441345215,149,
0,,-9.842037200927734,199,
0,,-5.27982759475708,249,
0,,-8.052745819091797,299,
0,,-11.252367973327637,349,
0,,-5.407969951629639,399,
0,,-7.5238165855407715,449,
0,,-8.228609085083008,499,
0,,-10.6793212890625,549,
0,,-13.286247253417969,599,
0,,-10.041112899780273,649,
0,,-9.506050109863281,699,
0,,-10.390207290649414,749,
0,,-6.3152008056640625,799,
0,,-13.222076416015625,849,
0,,-10.956855773925781,899,
0,,-12.277536392211914,949,
0,,-8.96107292175293,999,
0,,-11.772693634033203,1049,
0,,-15.962798118591309,1099,
0,,-11.594718933105469,1149,
0,,-9.072084426879883,1199,
0,,-12.328329086303711,1249,
0,,-13.372304916381836,1299,
0,,-18.270605087280273,1349,
0,,-11.338363647460938,1399,
0,,-10.312585830688477,1449,
0,,-8.104865074157715,1499,
0,,-13.774798393249512,1549,
0,,-14.462176322937012,1599,
0,,-11.635760307312012,1649,
0,,-14.122871398925781,1699,
0,,-13.703608512878418,1749,
0,,-14.654989242553711,1799,
0,,-14.993372917175293,1849,
0,,-10.22607707977295,1899,
0,,-9.428812980651855,1949,
0,,-14.66913890838623,1999,
0,,-14.351954460144043,2049,
0,,-14.423728942871094,2099,
0,,-14.684370040893555,2149,
0,,-15.25459098815918,2199,
0,,-16.66217803955078,2249,
,-12.165142059326172,,2250,
0,,,2249,-12.165142059326172
1,,-16.998680114746094,2299,
1,,-13.01840591430664,2349,
1,,-12.80156135559082,2399,
1,,-8.650032043457031,2449,
1,,-13.676440238952637,2499,
1,,-15.094828605651855,2549,
1,,-14.543050765991211,2599,
1,,-11.999406814575195,2649,
1,,-17.3783016204834,2699,
1,,-14.487457275390625,2749,
1,,-13.3789701461792,2799,
1,,-17.6090087890625,2849,
1,,-11.836511611938477,2899,
1,,-13.489677429199219,2949,
1,,-14.072355270385742,2999,
1,,-14.589811325073242,3049,
1,,-11.922506332397461,3099,
1,,-12.85135555267334,3149,
1,,-8.845823287963867,3199,
1,,-14.966026306152344,3249,
1,,-18.586397171020508,3299,
1,,-17.670888900756836,3349,
1,,-15.534079551696777,3399,
1,,-13.744926452636719,3449,
1,,-14.467120170593262,3499,
1,,-16.072227478027344,3549,
1,,-10.831230163574219,3599,
1,,-11.365036010742188,3649,
1,,-16.179758071899414,3699,
1,,-13.001235008239746,3749,
1,,-12.463160514831543,3799,
1,,-11.202089309692383,3849,
1,,-14.264785766601562,3899,
1,,-10.939737319946289,3949,
1,,-10.957305908203125,3999,
1,,-16.144845962524414,4049,
1,,-15.925871849060059,4099,
1,,-16.642629623413086,4149,
1,,-14.754664421081543,4199,
1,,-12.995382308959961,4249,
1,,-17.25416374206543,4299,
1,,-17.21407699584961,4349,
1,,-18.222822189331055,4399,
1,,-11.280609130859375,4449,
1,,-12.1548490524292,4499,
,-13.627370834350586,,4500,
1,,,4499,-13.627370834350586
2,,-12.215988159179688,4549,
2,,-0.7973359823226929,4599,
2,,-15.884718894958496,4649,
2,,-15.631399154663086,4699,
2,,-15.29434871673584,4749,
2,,-12.160578727722168,4799,
2,,-15.644285202026367,4849,
2,,-15.533475875854492,4899,
2,,-15.757255554199219,4949,
2,,-16.17987823486328,4999,
2,,-4.130267143249512,5049,
2,,-17.633785247802734,5099,
2,,-12.12371826171875,5149,
2,,-6.091133117675781,5199,
2,,-16.555561065673828,5249,
2,,-14.809053421020508,5299,
2,,-15.106229782104492,5349,
2,,-11.455093383789062,5399,
2,,-14.021095275878906,5449,
2,,-10.02477741241455,5499,
2,,-16.413511276245117,5549,
2,,-9.908456802368164,5599,
2,,-19.13870620727539,5649,
2,,-17.41592025756836,5699,
2,,-9.120792388916016,5749,
2,,-13.644911766052246,5799,
2,,-14.264025688171387,5849,
2,,-16.025920867919922,5899,
2,,-12.499082565307617,5949,
2,,-18.708343505859375,5999,
2,,-15.409391403198242,6049,
2,,-12.951536178588867,6099,
2,,-14.624271392822266,6149,
2,,-13.555224418640137,6199,
2,,-15.845499038696289,6249,
2,,-15.271490097045898,6299,
2,,-15.12116813659668,6349,
2,,-14.093118667602539,6399,
2,,-12.840239524841309,6449,
2,,-8.908281326293945,6499,
2,,-15.38960075378418,6549,
2,,-16.14011573791504,6599,
2,,-19.417234420776367,6649,
2,,-12.910979270935059,6699,
2,,-12.759661674499512,6749,
,-13.492953300476074,,6750,
2,,,6749,-13.492953300476074
3,,-11.686457633972168,6799,
3,,-13.230979919433594,6849,
3,,-11.257193565368652,6899,
3,,-11.808477401733398,6949,
3,,-17.450960159301758,6999,
3,,-13.901724815368652,7049,
3,,-15.75837230682373,7099,
3,,-17.56493377685547,7149,
3,,-17.737924575805664,7199,
3,,-16.695873260498047,7249,
3,,-15.9771146774292,7299,
3,,-14.271736145019531,7349,
3,,-13.750282287597656,7399,
3,,-14.755534172058105,7449,
3,,-17.16585922241211,7499,
3,,-14.909083366394043,7549,
3,,-11.612092971801758,7599,
3,,-11.945700645446777,7649,
3,,-15.616586685180664,7699,
3,,-10.898300170898438,7749,
3,,-18.070884704589844,7799,
3,,-7.051332473754883,7849,
3,,-17.02245330810547,7899,
3,,-13.700732231140137,7949,
3,,-18.354522705078125,7999,
3,,-18.521230697631836,8049,
3,,-15.574090957641602,8099,
3,,-15.375282287597656,8149,
3,,-17.726720809936523,8199,
3,,-16.7432861328125,8249,
3,,-13.469419479370117,8299,
3,,-16.894062042236328,8349,
3,,-16.580976486206055,8399,
3,,-14.624926567077637,8449,
3,,-14.127534866333008,8499,
3,,-11.63547134399414,8549,
3,,-13.731898307800293,8599,
3,,-16.077470779418945,8649,
3,,-14.063390731811523,8699,
3,,-15.290255546569824,8749,
3,,-13.083250045776367,8799,
3,,-17.200923919677734,8849,
3,,-18.733238220214844,8899,
3,,-15.212381362915039,8949,
3,,-13.751952171325684,8999,
,-14.264869689941406,,9000,
3,,,8999,-14.264869689941406
4,,-15.75446605682373,9049,
4,,-12.553106307983398,9099,
4,,-11.350713729858398,9149,
4,,-13.207633018493652,9199,
4,,-11.762521743774414,9249,
4,,-18.063709259033203,9299,
4,,-12.679221153259277,9349,
4,,-16.266464233398438,9399,
